"","id","oid","ind","alt","block","card","plants","native","pollin","appear","cost","choice","sq","city","Income","sur","type","freqv","timev","travelt","PlantGuess","plrich","NativeGuess","natper","ColourGuess","PollinGuess","Gender","age","AgeLevel","Education","Employment","CNS_ScaleMean","Charity","park...34","park...35","visittime","traveltime","dogs","adults","child","Task","plantsA","plantsB","plantsC","plantsD","nativeA","nativeB","nativeC","nativeD","pollinA","pollinB","pollinC","pollinD","appearA","appearB","appearC","appearD","costA","costB","costC","costD","ID"
"8279",8759,365,345,3,2,11,1,1,2,0,10,1,0,3,52000,2,1,2,10,2,1,4,75,0.6875,1,2,0,5,55,5,1,4.769230769,1,"Pilrig_Control",11,10,2,0,2,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,345
"8283",8763,366,346,3,2,3,1,0,0,3,60,1,0,3,52000,2,1,1,10,2,30,4,100,0.6875,4,2,1,3,35,6,1,4.769230769,0,"Pilrig_Control",11,10,2,1,2,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,346
"8285",8765,366,346,1,2,6,0,-1,2,3,40,1,0,3,52000,2,1,1,10,2,30,4,100,0.6875,4,2,1,3,35,6,1,4.769230769,0,"Pilrig_Control",11,10,2,1,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,346
"8291",8771,366,346,3,2,7,2,-1,2,1,10,1,0,3,52000,2,1,1,10,2,30,4,100,0.6875,4,2,1,3,35,6,1,4.769230769,0,"Pilrig_Control",11,10,2,1,2,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,346
"8295",8775,366,346,3,2,8,2,1,0,3,40,1,0,3,52000,2,1,1,10,2,30,4,100,0.6875,4,2,1,3,35,6,1,4.769230769,0,"Pilrig_Control",11,10,2,1,2,0,4,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,346
"8298",8778,366,346,2,2,10,2,0,1,3,20,1,0,3,52000,2,1,1,10,2,30,4,100,0.6875,4,2,1,3,35,6,1,4.769230769,0,"Pilrig_Control",11,10,2,1,2,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,346
"8302",8782,366,346,2,2,11,1,-1,1,3,20,1,0,3,52000,2,1,1,10,2,30,4,100,0.6875,4,2,1,3,35,6,1,4.769230769,0,"Pilrig_Control",11,10,2,1,2,0,6,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,346
"8306",8786,367,347,2,2,3,0,-1,0,2,10,1,0,3,15559,2,1,1,15,5,1,4,75,0.6875,2,3,0,5,55,5,3,5.384615385,0,"Pilrig_Control",11,15,5,1,1,0,1,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,347
"8311",8791,367,347,3,2,6,0,-1,2,2,5,1,0,3,15559,2,1,1,15,5,1,4,75,0.6875,2,3,0,5,55,5,3,5.384615385,0,"Pilrig_Control",11,15,5,1,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,347
"8315",8795,367,347,3,2,7,2,-1,2,1,10,1,0,3,15559,2,1,1,15,5,1,4,75,0.6875,2,3,0,5,55,5,3,5.384615385,0,"Pilrig_Control",11,15,5,1,1,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,347
